,Date,bajaj_log_return,tata_log_return,tvs_log_return,lupin_log_return
1,04-04-2022,0.633035635,1.261422384,0.768399854,3.219969652
2,05-04-2022,1.216123927,2.497919956,0.535190192,-1.831871046
3,06-04-2022,-0.207574982,-0.415666179,1.696673151,-0.438991329
4,07-04-2022,0.011832964,-1.46858372,-1.547641617,1.515373158
5,08-04-2022,0.212803672,0.565695237,2.392959415,-0.325539826
6,11-04-2022,-0.610733157,0,-0.375669287,0.440178625
7,12-04-2022,-2.002945205,-3.088924838,-0.107597781,-1.526555276
8,13-04-2022,-0.398146,-1.667945254,-0.030764913,-0.077584468
9,18-04-2022,0.466827733,0.635950406,0.911158606,-0.369372559
10,19-04-2022,-1.558688281,-2.061202689,-2.375566984,-0.08443251
11,20-04-2022,1.724108423,3.605232089,1.717914713,0.995676176
12,21-04-2022,-0.49575205,1.688092727,0.992458669,0.673231713
13,22-04-2022,-1.629747335,-2.074716799,-1.932883221,-3.67724646
14,25-04-2022,1.104376912,-3.171563601,0.579171378,-3.893430105
15,26-04-2022,5.523486108,2.267411712,4.832445489,4.475126288
16,27-04-2022,0.347525326,-1.074969975,0.745561779,-2.131703148
17,28-04-2022,-1.84111781,1.339048673,-0.767578676,0.81141242
18,29-04-2022,-2.772543348,0.354836491,-3.966990362,-0.535728124
19,02-05-2022,-2.886094806,-1.091404548,-0.88963889,-0.376735519
20,04-05-2022,-3.554976763,-2.183774215,-3.376612062,-2.056450805
21,05-05-2022,0.769154333,0.658978539,0.564146484,-0.05505393
22,06-05-2022,-0.687688325,-4.252903061,-0.31744399,-0.344781853
23,09-05-2022,1.952392654,-1.132308739,-2.185690333,1.262971388
24,10-05-2022,0.67860571,-3.066726212,0.121781239,-2.57008293
25,11-05-2022,0.549546346,-0.923207566,0.638979361,0.328385349
26,12-05-2022,-0.773844249,-4.169187304,-2.928877924,-3.210884205
27,13-05-2022,1.580186966,8.245719129,5.240110369,0.316433142
28,16-05-2022,2.004715527,0.259375288,2.926886338,-1.636059246
29,17-05-2022,0.725321165,4.533624803,3.407245225,0.850331365
30,18-05-2022,1.282183209,-2.144728796,0.597189208,-1.106111437
31,19-05-2022,-2.4741747,-4.055605263,-0.161857943,-7.354527046
32,20-05-2022,2.384458805,4.739761109,0.799335241,0.557637441
33,23-05-2022,-0.043578905,0.821976209,1.644433975,-3.166791841
34,24-05-2022,-0.075301264,1.015112835,1.843787589,-2.895190318
35,25-05-2022,0.224426604,-2.07660868,-0.94968103,-1.779914991
36,26-05-2022,1.713960048,0.871487069,0.872060097,1.721662065
37,27-05-2022,-0.631961393,2.105345153,2.150922937,0.870463303
38,30-05-2022,0.615100635,2.935989283,2.180018494,1.17344273
39,31-05-2022,0.191691377,0.259607589,-0.419997741,0.925701333
40,01-06-2022,-3.797823333,0.236450128,0.088207689,-1.736615941
41,02-06-2022,-0.847646889,-1.233397978,0.210038431,0.778272966
42,03-06-2022,-0.434700459,-1.664696941,-1.1504157,-0.253291687
43,06-06-2022,3.85376324,0.104137974,-0.219330995,-0.937048891
44,07-06-2022,0.447007802,0.806272632,2.084606559,0.691309251
45,08-06-2022,-1.047435818,-0.045903266,0.936399975,0.580610436
46,09-06-2022,2.202674006,-1.654841274,1.735732746,0.84443301
47,10-06-2022,0.060568343,-0.105074129,-0.071988898,0.040426801
48,13-06-2022,0.006441415,-5.116411511,-1.74365469,-1.03991396
49,14-06-2022,-5.276906527,-0.381854993,-0.073316556,-0.474788903
50,15-06-2022,0.443104834,2.185016816,0.525345965,0.71134562
51,16-06-2022,-1.084803486,-5.242504271,-0.899436462,-1.758909264
52,17-06-2022,-0.802794454,-1.023159414,-0.934611862,-0.899548674
53,20-06-2022,-0.358865951,-1.619943316,-1.291833752,1.527760134
54,21-06-2022,0.807036182,3.819506497,1.864398464,3.728240495
55,22-06-2022,-0.263709637,-1.138245389,-0.067192508,-2.687193055
56,23-06-2022,4.020520629,3.524048682,3.707793963,2.520351257
57,24-06-2022,0.751504819,0.514384381,3.406344639,0.09538769
58,27-06-2022,1.246985913,1.262465058,0.343698308,0.095267434
59,28-06-2022,0.717413392,0.625301975,2.306327957,0.546125786
60,29-06-2022,-0.553093265,-0.03596956,1.590545233,-2.041366041
61,30-06-2022,-0.563615385,-1.242859874,1.026693849,-1.575214159
62,01-07-2022,-2.237106202,0.218324757,2.173489374,2.800254702
63,04-07-2022,1.510083116,-1.035147958,-2.298279656,0
64,05-07-2022,0.081499343,0.865384378,-3.447989116,-0.047761068
65,06-07-2022,2.422393857,1.050290698,1.551167466,0.310030105
66,07-07-2022,0.593243976,3.423376916,0.102972027,0.482998844
67,08-07-2022,0.774232576,2.453124588,1.585524045,0.315453188
68,11-07-2022,0.613799509,-1.024366929,1.865349958,1.181972004
69,12-07-2022,-0.018183629,-1.49841989,-0.71605174,-1.45005103
70,13-07-2022,0.334682799,-0.804518794,0.949709634,2.140210674
71,14-07-2022,0.063439234,0.222177154,-2.421283605,0.038869008
72,15-07-2022,1.289795723,2.798921379,4.122128016,-0.373806917
73,18-07-2022,1.790509195,2.401640014,0.748637118,0.707497225
74,19-07-2022,0.449534998,-0.411138317,0.221799315,-0.248218591
75,20-07-2022,0.001252174,0.975082279,-0.307240101,2.105663016
76,21-07-2022,1.364938136,0.308263978,0.233357035,-1.14724091
77,22-07-2022,-0.062878978,0.010989903,0.708116387,-1.636389796
78,25-07-2022,-0.825945942,-1.183052482,-1.679273567,-1.100725332
79,26-07-2022,-2.404866552,-1.88621314,-0.75484906,-0.745918186
80,27-07-2022,-1.06922978,0.655222053,-1.703368093,2.018519087
81,28-07-2022,-0.661326514,-0.406182585,2.412278226,0.163784837
82,29-07-2022,1.446114522,1.648299827,4.211687322,0.388894017
83,01-08-2022,1.492215572,6.375973592,2.027647974,-0.459054674
84,02-08-2022,0.574696142,-0.617510494,1.254704197,-0.390686857
85,03-08-2022,0.181252961,-1.790211754,-1.136066895,-1.745363511
86,04-08-2022,0.205865448,0.234868423,0.682116126,5.026119099
