Date,Open,High,Low,Close,Adj Close,Volume
2022-04-01,3636.000000,3746.000000,3636.000000,3739.899902,3389.285400,391985
2022-04-04,3750.000000,3772.000000,3716.399902,3763.649902,3410.808838,419517
2022-04-05,3765.000000,3819.949951,3765.000000,3809.699951,3452.541748,339228
2022-04-06,3801.000000,3810.000000,3741.600098,3801.800049,3445.382568,240470
2022-04-07,3801.850098,3819.600098,3771.050049,3802.250000,3445.790283,224527
2022-04-08,3812.300049,3836.000000,3767.000000,3810.350098,3453.130859,229962
2022-04-11,3820.000000,3825.000000,3768.149902,3787.149902,3432.105713,135225
2022-04-12,3768.500000,3776.699951,3676.050049,3712.050049,3364.046387,266145
2022-04-13,3712.050049,3747.500000,3669.100098,3697.300049,3350.679199,198206
2022-04-18,3690.000000,3758.250000,3645.250000,3714.600098,3366.357666,373718
2022-04-19,3740.000000,3774.600098,3618.350098,3657.149902,3314.293457,211918
2022-04-20,3666.000000,3734.949951,3652.300049,3720.750000,3371.930908,174080
2022-04-21,3705.000000,3739.500000,3680.100098,3702.350098,3355.255859,216475
2022-04-22,3670.000000,3694.750000,3622.850098,3642.500000,3301.016846,228316
2022-04-25,3602.000000,3724.750000,3600.000000,3682.949951,3337.674561,444222
2022-04-26,3704.949951,3905.000000,3704.949951,3892.100098,3527.217041,1107122
2022-04-27,3870.000000,3919.000000,3846.000000,3905.649902,3539.496338,541564
2022-04-28,4000.000000,4000.000000,3805.000000,3834.399902,3474.926270,1628318
2022-04-29,3805.000000,3840.000000,3711.350098,3729.550049,3379.905762,594650
2022-05-02,3720.000000,3720.000000,3606.000000,3623.449951,3283.752686,376660
2022-05-04,3625.000000,3683.000000,3485.399902,3496.899902,3169.066650,575428
2022-05-05,3538.800049,3595.000000,3510.399902,3523.899902,3193.535645,323081
2022-05-06,3488.300049,3555.000000,3460.000000,3499.750000,3171.649414,436366
2022-05-09,3490.000000,3584.699951,3480.000000,3568.750000,3234.180908,502719
2022-05-10,3564.949951,3646.699951,3540.000000,3593.050049,3256.202881,507087
2022-05-11,3600.000000,3627.949951,3537.300049,3612.850098,3274.146484,437746
2022-05-12,3585.000000,3654.000000,3539.199951,3585.000000,3248.907471,777332
2022-05-13,3618.050049,3736.000000,3618.050049,3642.100098,3300.654053,633218
2022-05-16,3650.000000,3725.000000,3650.000000,3715.850098,3367.490479,401803
2022-05-17,3725.100098,3787.000000,3725.100098,3742.899902,3392.004395,402398
2022-05-18,3743.000000,3829.500000,3736.199951,3791.199951,3435.776123,507061
2022-05-19,3691.899902,3778.000000,3680.050049,3698.550049,3351.812012,261026
2022-05-20,3760.000000,3849.000000,3735.000000,3787.800049,3432.695068,396832
2022-05-23,3836.000000,3874.500000,3770.000000,3786.149902,3431.199463,339483
2022-05-24,3817.399902,3842.000000,3771.050049,3783.300049,3428.616699,369304
2022-05-25,3814.550049,3819.000000,3742.250000,3791.800049,3436.320068,225253
2022-05-26,3801.100098,3870.000000,3754.050049,3857.350098,3495.724854,419826
2022-05-27,3875.000000,3890.000000,3823.050049,3833.050049,3473.702881,422591
2022-05-30,3860.000000,3903.149902,3843.050049,3856.699951,3495.135498,271827
2022-05-31,3876.000000,3958.000000,3839.000000,3864.100098,3501.841797,1154256
2022-06-01,3877.199951,3904.000000,3707.300049,3720.100098,3371.341797,784215
2022-06-02,3720.100098,3749.899902,3666.350098,3688.699951,3342.885498,346754
2022-06-03,3719.000000,3733.899902,3650.000000,3672.699951,3328.385498,409815
2022-06-06,3660.000000,3869.750000,3650.500000,3817.000000,3459.157227,1136609
2022-06-07,3765.000000,3853.649902,3765.000000,3834.100098,3474.654541,561644
2022-06-08,3833.500000,3850.000000,3768.050049,3794.149902,3438.449707,346603
2022-06-09,3794.149902,3895.000000,3779.399902,3878.649902,3515.027832,627869
2022-06-10,3956.300049,3971.000000,3850.000000,3881.000000,3517.157471,1412838
2022-06-13,3825.000000,3895.050049,3794.449951,3881.250000,3517.384033,519745
2022-06-14,3885.000000,3915.750000,3602.949951,3681.750000,3336.587158,1733394
2022-06-15,3700.000000,3742.649902,3645.000000,3698.100098,3351.404541,753821
2022-06-16,3736.800049,3736.800049,3633.000000,3658.199951,3315.244873,438590
2022-06-17,3670.000000,3713.949951,3615.600098,3628.949951,3288.736816,727356
2022-06-20,3620.250000,3638.800049,3574.800049,3615.949951,3276.955811,268242
2022-06-21,3631.000000,3675.000000,3616.050049,3645.250000,3303.509033,424763
2022-06-22,3645.000000,3721.500000,3614.149902,3635.649902,3294.808838,585483
2022-06-23,3680.100098,3796.000000,3665.250000,3784.800049,3429.976318,1186420
2022-06-24,3800.800049,3841.350098,3781.949951,3813.350098,3455.849854,558798
2022-06-27,3870.000000,3958.449951,3817.000000,3861.199951,3499.213623,1819576
2022-06-28,3839.949951,3907.199951,3783.050049,3889.000000,3524.407715,799053
2022-06-29,3880.000000,3900.000000,3856.050049,3867.550049,3504.968262,524392
2022-06-30,3750.000000,3768.350098,3692.000000,3706.600098,3485.269287,715926
2022-07-01,3667.949951,3678.699951,3601.100098,3624.600098,3408.165771,756589
2022-07-04,3644.399902,3695.149902,3608.000000,3679.750000,3460.022461,536505
2022-07-05,3700.000000,3700.000000,3663.000000,3682.750000,3462.843506,294980
2022-07-06,3682.000000,3777.300049,3675.149902,3773.050049,3547.751465,333226
2022-07-07,3786.300049,3836.100098,3785.000000,3795.500000,3568.860840,534547
2022-07-08,3830.000000,3830.000000,3792.699951,3825.000000,3596.599365,326804
2022-07-11,3820.000000,3858.000000,3795.000000,3848.550049,3618.743164,372417
2022-07-12,3853.000000,3863.000000,3832.050049,3847.850098,3618.085205,244636
2022-07-13,3858.000000,3878.949951,3848.000000,3860.750000,3630.214600,308508
2022-07-14,3858.899902,3885.949951,3841.000000,3863.199951,3632.518311,377688
