Date,Open,High,Low,Close,Adj Close,Volume
2022-06-03,743.000000,744.150024,728.099976,730.299988,726.714294,831010
2022-06-06,729.799988,739.400024,723.250000,728.700012,725.122131,897590
2022-06-07,724.500000,746.200012,716.049988,744.049988,740.396729,2341860
2022-06-08,747.000000,755.000000,736.200012,751.049988,747.362366,3376027
2022-06-09,751.049988,766.000000,746.200012,764.200012,760.447815,2206938
2022-06-10,762.000000,766.200012,754.000000,763.650024,759.900574,1330054
2022-06-13,758.799988,762.549988,748.349976,750.450012,746.765381,1450884
2022-06-14,743.599976,760.799988,743.000000,749.900024,746.218079,1342735
2022-06-15,751.200012,757.900024,749.599976,753.849976,750.148621,694564
2022-06-16,760.150024,766.349976,739.099976,747.099976,743.431763,1719322
2022-06-17,741.000000,750.650024,731.950012,740.150024,736.515930,1829920
2022-06-20,739.900024,746.900024,722.950012,730.650024,727.062561,1866728
2022-06-21,731.250000,749.000000,730.000000,744.400024,740.745056,1053612
2022-06-22,741.000000,746.549988,734.400024,743.900024,740.247498,1294272
2022-06-23,745.950012,775.799988,744.799988,772.000000,768.209534,2403326
2022-06-24,778.000000,805.700012,777.000000,798.750000,794.828186,3909837
2022-06-27,810.849976,810.849976,796.000000,801.500000,797.564697,2192974
2022-06-28,798.900024,823.599976,793.099976,820.200012,816.172913,3330788
2022-06-29,813.900024,841.000000,808.599976,833.349976,829.258301,2359911
2022-06-30,832.400024,850.000000,825.200012,841.950012,837.816101,4098480
2022-07-01,837.500000,886.299988,827.299988,860.450012,856.225281,3263584
2022-07-04,840.000000,851.500000,821.150024,840.900024,836.771240,4102568
2022-07-05,839.950012,846.750000,810.200012,812.400024,808.411194,2427183
2022-07-06,817.000000,835.650024,815.099976,825.099976,821.048767,2184396
2022-07-07,836.099976,840.400024,820.500000,825.950012,821.894653,1581958
2022-07-08,834.900024,841.849976,825.000000,839.150024,835.029846,1066301
2022-07-11,837.750000,857.500000,829.849976,854.950012,850.752258,1110345
2022-07-12,856.000000,858.700012,843.799988,848.849976,844.682190,808629
2022-07-13,850.900024,865.700012,849.799988,856.950012,852.742432,891323
2022-07-14,856.950012,862.549988,832.549988,836.450012,832.343079,923118
2022-07-15,837.250000,874.000000,836.450012,871.650024,867.370300,1584738
2022-07-18,876.000000,881.750000,871.000000,878.200012,873.888123,1456093
2022-07-19,870.500000,888.700012,870.500000,880.150024,875.828552,1289938
2022-07-20,882.000000,890.000000,873.150024,877.450012,873.141785,679275
2022-07-21,876.000000,887.250000,873.000000,879.500000,875.181702,815859
2022-07-22,875.299988,898.700012,875.299988,885.750000,881.401001,2263170
2022-07-25,884.849976,893.000000,867.700012,871.000000,866.723450,980576
2022-07-26,870.000000,872.750000,860.500000,864.450012,860.205627,1080149
2022-07-27,864.450012,867.950012,837.049988,849.849976,845.677246,1305629
2022-07-28,857.950012,874.250000,849.000000,870.599976,866.325378,1418272
2022-07-29,898.950012,953.200012,897.000000,908.049988,903.591553,9480378
2022-08-01,908.900024,943.599976,908.049988,926.650024,922.100220,2767083
2022-08-02,931.000000,940.849976,917.400024,938.349976,933.742737,1898797
2022-08-03,935.000000,943.549988,916.299988,927.750000,923.194824,1237195
2022-08-04,935.000000,944.650024,924.200012,934.099976,929.513611,1265730
2022-08-05,935.000000,951.200012,935.000000,948.349976,943.693665,2153657
2022-08-08,949.900024,960.900024,942.099976,956.700012,952.002686,1356911
2022-08-10,959.950012,969.000000,950.099976,966.599976,961.854065,1247420
2022-08-11,971.000000,974.900024,955.099976,958.250000,953.545044,1035579
2022-08-12,960.000000,964.500000,950.950012,952.549988,947.873047,653263
2022-08-16,958.000000,981.700012,949.549988,979.099976,974.292664,965828
2022-08-17,981.000000,986.000000,968.250000,970.549988,965.784668,1182141
2022-08-18,971.000000,990.900024,971.000000,974.000000,969.217712,2149414
2022-08-19,981.400024,991.450012,954.549988,958.750000,954.042603,1831816
2022-08-22,953.000000,959.700012,933.599976,936.950012,932.349670,1465242
2022-08-23,930.000000,959.200012,925.000000,955.150024,950.460327,1292054
2022-08-24,959.000000,966.700012,950.500000,959.950012,955.236694,1250754
