Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,633.799988,637.150024,621.250000,629.400024,622.820679,1133553
2022-06-27,630.349976,640.900024,628.500000,630.000000,623.414307,819634
2022-06-28,625.000000,635.349976,621.500000,633.450012,626.828247,503079
2022-06-29,628.950012,632.599976,618.000000,620.650024,614.162109,585868
2022-06-30,615.000000,619.700012,607.500000,610.950012,604.563538,1191662
2022-07-01,613.099976,630.549988,608.700012,628.299988,621.732117,908035
2022-07-04,626.900024,634.150024,621.200012,628.299988,621.732117,386921
2022-07-05,633.000000,637.200012,625.599976,628.000000,621.435242,707377
2022-07-06,626.000000,634.000000,621.099976,629.950012,623.364868,528205
2022-07-07,645.000000,651.000000,622.349976,633.000000,626.382996,1702861
2022-07-08,640.000000,641.250000,630.049988,635.000000,628.362061,679920
2022-07-11,631.599976,644.599976,631.599976,642.549988,635.833191,551206
2022-07-12,643.299988,644.000000,631.000000,633.299988,626.679810,440534
2022-07-13,639.450012,651.000000,632.849976,647.000000,640.236633,908379
2022-07-14,649.849976,653.849976,637.049988,643.250000,640.485535,1202079
2022-07-15,643.250000,646.200012,636.099976,640.849976,638.095825,566608
2022-07-18,642.099976,648.750000,638.500000,645.400024,642.626343,708007
2022-07-19,645.000000,650.000000,640.549988,643.799988,641.033203,786644
2022-07-20,647.000000,661.849976,643.700012,657.500000,654.674316,661743
2022-07-21,660.000000,665.299988,647.049988,650.000000,647.206543,1012272
2022-07-22,653.000000,654.000000,636.000000,639.450012,636.701904,868452
2022-07-25,643.349976,643.349976,626.000000,632.450012,629.731995,820286
2022-07-26,635.700012,636.000000,625.000000,627.750000,625.052185,695563
2022-07-27,625.000000,641.750000,623.099976,640.549988,637.797180,584598
2022-07-28,645.000000,645.000000,637.250000,641.599976,638.842651,485945
2022-07-29,642.099976,648.650024,631.000000,644.099976,641.331909,1231092
2022-08-01,649.099976,652.450012,635.049988,641.150024,638.394592,1124106
2022-08-02,639.599976,640.950012,629.299988,638.650024,635.905334,1140729
2022-08-03,639.000000,644.000000,624.650024,627.599976,624.902771,1186040
2022-08-04,612.000000,664.250000,603.000000,659.950012,657.113831,13258447
2022-08-05,658.900024,670.000000,653.950012,668.099976,665.228760,2986757
2022-08-08,670.000000,673.049988,658.099976,666.650024,663.785034,1379795
2022-08-10,666.599976,672.799988,660.099976,669.849976,666.971191,893159
2022-08-11,673.000000,694.000000,672.200012,690.250000,687.283569,1089880
2022-08-12,693.450012,694.000000,681.000000,682.849976,679.915344,751684
2022-08-16,687.950012,689.900024,675.000000,683.549988,680.612366,844454
2022-08-17,685.000000,692.500000,679.349976,687.950012,684.993469,1022273
2022-08-18,687.950012,692.000000,678.349976,688.799988,685.839783,890706
2022-08-19,685.000000,696.450012,685.000000,688.950012,685.989197,1078615
2022-08-22,684.000000,689.200012,676.000000,682.900024,679.965210,974313
2022-08-23,675.000000,699.500000,675.000000,695.450012,692.461243,1372908
2022-08-24,698.000000,703.799988,675.099976,677.599976,674.687927,1473249
2022-08-25,681.000000,681.000000,661.950012,664.900024,662.042542,2373005
2022-08-26,672.000000,672.000000,650.849976,652.700012,649.894958,1655489
2022-08-29,640.000000,664.400024,634.650024,661.950012,659.105225,1442822
2022-08-30,664.900024,671.950012,661.700012,669.099976,666.224426,1281083
2022-09-01,666.000000,669.000000,658.500000,660.700012,657.860596,608875
2022-09-02,661.650024,665.299988,652.049988,653.700012,650.890686,531472
2022-09-05,653.700012,657.549988,651.000000,653.150024,650.343018,341865
2022-09-06,653.500000,659.000000,648.599976,652.549988,649.745605,393872
2022-09-07,652.549988,667.799988,647.150024,666.299988,663.436462,693918
2022-09-08,673.000000,673.000000,664.049988,666.750000,663.884583,477250
2022-09-09,669.000000,673.700012,666.000000,668.549988,665.676819,584825
2022-09-12,668.549988,674.799988,667.650024,671.650024,668.763550,315997
2022-09-13,674.000000,675.049988,668.500000,673.950012,671.053650,528712
2022-09-14,666.000000,671.500000,663.599976,666.400024,663.536072,417992
2022-09-15,669.750000,670.799988,657.299988,662.900024,660.051147,540944
2022-09-16,662.900024,663.750000,630.000000,632.150024,629.433289,2005747
2022-09-19,633.000000,645.799988,623.000000,641.250000,638.494141,1154043
2022-09-20,644.500000,673.950012,642.250000,671.250000,668.365234,1894583
2022-09-21,670.000000,681.900024,660.000000,661.349976,658.507751,1271390
2022-09-22,655.799988,665.500000,654.000000,663.299988,660.449402,703087
2022-09-23,666.299988,668.000000,647.000000,648.349976,645.563599,532388
2022-09-26,643.500000,660.400024,637.500000,653.950012,651.139587,1019861
2022-09-27,659.900024,661.049988,644.200012,656.349976,653.529236,799635
2022-09-28,651.000000,672.400024,646.349976,670.200012,667.319763,1166934
2022-09-29,673.599976,674.099976,644.799988,654.799988,651.985901,4410562
